"requirement_id","parent_requirement_id","exact_constitution_part","exact_constitution_section","verified_exact_line_range","source_wording","source_digest_sha256","source_summary","source_modality","requirement_type","delivery_target","classification","responsible_layer","dependencies","atomic_acceptance_criteria","related_phase_0_document","evidence_requirement","owner_approval_state","implementation_status"
"REQ-046.02","REQ-046","Part 4","Final Engineering Directive","L2001","If you identify a substantially better solution than the initial assumptions, explain the reasoning, outline the trade-offs, and recommend the improved approach before implementation.","b9c7669c6299e2142ee29870ae9f5563a0cef33a42411664577859134f7da22f","When a substantially better solution exists, reasoning and trade-offs are documented and the improvement is recommended before implementation.","MUST","Governance","Pre-implementation deliverable","CD","Shared governance","None stated by the Constitution","Workflow and audit evidence confirm this statement: “When a substantially better solution exists, reasoning and trade-offs are documented and the improvement is recommended before implementation.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Approval/audit record showing the required gate or workflow was followed.","Pending independent review","Not started"
"REQ-047.01","REQ-047","Part 5","Database Philosophy and Objectives","L2037–L2042","DATABASE PHILOSOPHY / The database is the foundation of the entire platform. / Every table, relationship, column, index, and constraint must exist for a clear business purpose.","0475f09af72a83af225befc164550987c4d2bb6f3c8dc77856be73cfe40a4227","Every table has a clear business purpose.","MUST","Data","Pre-implementation deliverable","CD","Database","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “Every table has a clear business purpose.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-047.02","REQ-047","Part 5","Database Philosophy and Objectives","L2041","Every table, relationship, column, index, and constraint must exist for a clear business purpose.","7d610e7b255e4e178ecb5c339415ec5e3f9d70210e3b5367bc293a44f7170da7","Every relationship has a clear business purpose.","MUST","Data","Pre-implementation deliverable","CD","Database","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “Every relationship has a clear business purpose.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-047.03","REQ-047","Part 5","Database Philosophy and Objectives","L2041","Every table, relationship, column, index, and constraint must exist for a clear business purpose.","7d610e7b255e4e178ecb5c339415ec5e3f9d70210e3b5367bc293a44f7170da7","Every column has a clear business purpose.","MUST","Data","Pre-implementation deliverable","CD","Database","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “Every column has a clear business purpose.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-047.04","REQ-047","Part 5","Database Philosophy and Objectives","L2041","Every table, relationship, column, index, and constraint must exist for a clear business purpose.","7d610e7b255e4e178ecb5c339415ec5e3f9d70210e3b5367bc293a44f7170da7","Every index has a clear business purpose.","MUST","Data","Pre-implementation deliverable","CD","Database","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “Every index has a clear business purpose.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-047.05","REQ-047","Part 5","Database Philosophy and Objectives","L2041","Every table, relationship, column, index, and constraint must exist for a clear business purpose.","7d610e7b255e4e178ecb5c339415ec5e3f9d70210e3b5367bc293a44f7170da7","Every constraint has a clear business purpose.","MUST","Data","Pre-implementation deliverable","CD","Database","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “Every constraint has a clear business purpose.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-047.06","REQ-047","Part 5","Database Philosophy and Objectives","L2043","Do not create unnecessary tables.","aa26ca8183f5c7c5648a10ba062d0be7e0d0475ae56a4c658122a7b94792e347","The design avoids unnecessary tables.","MUST","Data","Pre-implementation deliverable","CD","Database","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “The design avoids unnecessary tables.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-047.07","REQ-047","Part 5","Database Philosophy and Objectives","L2045","Do not duplicate data without justification.","d0a5b658ff4cdccd72478d58b531369635d58413e1e73ad566adc9f6e9804a15","The design avoids duplicated data unless justified.","MUST","Data","Pre-implementation deliverable","CD","Database","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “The design avoids duplicated data unless justified.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-047.08","REQ-047","Part 5","Database Philosophy and Objectives","L2047","Design the database for long-term scalability, maintainability, integrity, and performance.","fd66b98be8fce12790ab642bce15d9050e144076d3312c142ebdbba0b79c0315","The database is designed for long-term scalability, maintainability, integrity, and performance.","MUST","Data","Pre-implementation deliverable","CD","Database","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “The database is designed for long-term scalability, maintainability, integrity, and performance.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-047.09","REQ-047","Part 5","Database Philosophy and Objectives","L2049","The schema should support future product growth without requiring major redesign.","9d375ef7ec36a489975608611bc7606523099e6d4b2df2992b178720b296c09d","The schema supports future product growth without major redesign.","SHOULD","Data","Future","FRR","Database","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “The schema supports future product growth without major redesign.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-047.10","REQ-047","Part 5","Database Philosophy and Objectives","L2055; L2057","The database must provide: || High performance","194ad228bb8ced50056b2fb4c34cdfc880df2dad8ad19ee69927dc563b7bff42","The database provides high performance.","MUST","Data","Pre-implementation deliverable","CD","Database","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “The database provides high performance.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-047.11","REQ-047","Part 5","Database Philosophy and Objectives","L2055; L2059","The database must provide: || Strong consistency","bb5c0a7a488450206f1aa9020a2c57ae31218332068649488b6882a977d72a3b","The database provides strong consistency.","MUST","Data","Pre-implementation deliverable","CD","Database","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “The database provides strong consistency.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-047.12","REQ-047","Part 5","Database Philosophy and Objectives","L2055; L2061","The database must provide: || Excellent maintainability","8908e0bc22171b04da746263780980653593f2d4b2e5f21b3889a1d76283428d","The database provides excellent maintainability.","MUST","Data","Pre-implementation deliverable","CD","Database","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “The database provides excellent maintainability.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-047.13","REQ-047","Part 5","Database Philosophy and Objectives","L2055; L2063","The database must provide: || Data integrity","f99f45f7a0881777fbe8211f63a78fe9f6091007b2d624cb10404a0dfae28694","The database provides data integrity.","MUST","Data","Pre-implementation deliverable","CD","Database","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “The database provides data integrity.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-047.14","REQ-047","Part 5","Database Philosophy and Objectives","L2055; L2065","The database must provide: || Easy migrations","f88d660791ba3c6a922f83f43c282f07e6690a8e2947b2680ecc82994301fabb","The database supports easy migrations.","MUST","Data","Pre-implementation deliverable","CD","Database","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “The database supports easy migrations.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-047.15","REQ-047","Part 5","Database Philosophy and Objectives","L2055; L2067","The database must provide: || Easy backups","95db6294b7adfea6da7b1650fd320918e3d444da8e9e036fbfab5858729febed","The database supports easy backups.","MUST","Data","Pre-implementation deliverable","CD","Database","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “The database supports easy backups.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-047.16","REQ-047","Part 5","Database Philosophy and Objectives","L2055; L2069","The database must provide: || Clear relationships","a70ef3ad1900c1af1f67fd927237e24d87f8465ebdab46b40b5db9147681a1a6","The database provides clear relationships.","MUST","Data","Pre-implementation deliverable","CD","Database","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “The database provides clear relationships.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-047.17","REQ-047","Part 5","Database Philosophy and Objectives","L2055; L2071","The database must provide: || Future extensibility","2bab63935a48932d5b172c00f07db9efa520fbcb564bada9a92d343caa2e63b0","The database provides future extensibility.","MUST","Data","Future","FRR","Database","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “The database provides future extensibility.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-047.18","REQ-047","Part 5","Database Philosophy and Objectives","L2055; L2073","The database must provide: || Auditability","f1f06d16e3f6cff82aa916f43adde8ce9b2f4b3a70b9d5b30332f7b4bfcfb877","The database provides auditability.","MUST","Data","Pre-implementation deliverable","CD","Database","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “The database provides auditability.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-047.19","REQ-047","Part 5","Database Philosophy and Objectives","L2055; L2075","The database must provide: || Security","4fb1ddb0af0cd5cfb41e7c700b1e0db3c218f967ca85e3affc66f0fc52d09a8c","The database provides security.","MUST","Security","Pre-implementation deliverable","CD","Database","None stated by the Constitution","Security review and negative-path tests confirm this statement: “The database provides security.”","Security, Fraud & Compliance deliverable (identifier pending ODR-001)","Threat-control mapping plus passing security/negative-path test evidence.","Pending independent review","Not started"
"REQ-048.01","REQ-048","Part 5","Database Design Principles and Specification","L2079–L2083","DATABASE DESIGN PRINCIPLES / Follow these principles: / Normalize appropriately (typically up to Third Normal Form unless justified otherwise).","eaef12b7eac57bc5adcaf1782b2af1e9b84677e5b97ac2af74e6217238f51fc6","The schema is normalized appropriately, typically through Third Normal Form unless deviation is justified.","MUST","Data","Pre-implementation deliverable","CD","Database","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “The schema is normalized appropriately, typically through Third Normal Form unless deviation is justified.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-048.02","REQ-048","Part 5","Database Design Principles and Specification","L2085","Use primary and foreign keys consistently.","777061a8d10aa5439336837f5717e4fa9d4f9866c305adc8ef300d56d386f10f","Primary and foreign keys are used consistently.","MUST","Data","Pre-implementation deliverable","CD","Database","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “Primary and foreign keys are used consistently.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-048.03","REQ-048","Part 5","Database Design Principles and Specification","L2087","Enforce referential integrity where appropriate.","756e0adbf3884bf4c814d0e24d381ad0a5d91d464f7c0f06de395d244b8fc856","Referential integrity is enforced where appropriate.","MUST","Data","Pre-implementation deliverable","CD","Database","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “Referential integrity is enforced where appropriate.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-048.04","REQ-048","Part 5","Database Design Principles and Specification","L2089","Use indexes thoughtfully based on expected query patterns.","2bfd1977d89092f9bab7abc59541d5401c1f3c1e456e1d011641133b25482589","Indexes are selected from expected query patterns.","MUST","Data","Pre-implementation deliverable","CD","Database","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “Indexes are selected from expected query patterns.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-048.05","REQ-048","Part 5","Database Design Principles and Specification","L2091","Avoid premature optimization.","2efbc5119ac75e9a6389345b8a80f424095788fe3c5f6e011bd824d8de12806e","The database design avoids premature optimization.","MUST","Data","Pre-implementation deliverable","CD","Database","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “The database design avoids premature optimization.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-048.06","REQ-048","Part 5","Database Design Principles and Specification","L2093","Avoid storing derived values unless there is a measurable performance benefit and a strategy for keeping them synchronized.","d6213fc57bb78f4fbc22dd83f49b571a9d6cc235aebc4079f343074c6b1acc70","Derived values are not stored unless measurable performance benefit and synchronization strategy are documented.","MUST","Data","Pre-implementation deliverable","CD","Database","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “Derived values are not stored unless measurable performance benefit and synchronization strategy are documented.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-048.07","REQ-048","Part 5","Database Design Principles and Specification","L2097–L2099","DATABASE DOCUMENTATION / Before implementation, generate a complete database specification that includes:","f6e6fd82e7615a14f87b4d9ce144daa4949c2b26f712c409aa257193fca2e2fb","A complete database specification is generated before implementation.","MUST","Documentation","Pre-implementation deliverable","CD","Database","None stated by the Constitution","The named artifact exists, addresses this statement, and is traceable to the cited lines: “A complete database specification is generated before implementation.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Versioned artifact plus reviewer sign-off and citation trace.","Pending independent review","Not started"
"REQ-048.08","REQ-048","Part 5","Database Design Principles and Specification","L2099; L2101","Before implementation, generate a complete database specification that includes: || Entity descriptions","b5b0a5394002f7082c5fe0241e812097d22f97d63f2b4dec055a501bdce04699","The database specification includes entity descriptions.","MUST","Documentation","Pre-implementation deliverable","CD","Database","None stated by the Constitution","The named artifact exists, addresses this statement, and is traceable to the cited lines: “The database specification includes entity descriptions.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Versioned artifact plus reviewer sign-off and citation trace.","Pending independent review","Not started"
"REQ-048.09","REQ-048","Part 5","Database Design Principles and Specification","L2099; L2103","Before implementation, generate a complete database specification that includes: || Business purpose","1cdaea65cd0264bed55a41415f5a8d2f38c3b166750a62b33d2b64ef85323c4e","The database specification includes each entity’s business purpose.","MUST","Documentation","Pre-implementation deliverable","CD","Database","None stated by the Constitution","The named artifact exists, addresses this statement, and is traceable to the cited lines: “The database specification includes each entity’s business purpose.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Versioned artifact plus reviewer sign-off and citation trace.","Pending independent review","Not started"
"REQ-048.10","REQ-048","Part 5","Database Design Principles and Specification","L2099; L2105","Before implementation, generate a complete database specification that includes: || Relationships","68bfd8b1d9cb56ac19284a31374a1f156a4345c025840d2f3b2b17e0c877ae1a","The database specification includes relationships.","MUST","Documentation","Pre-implementation deliverable","CD","Database","None stated by the Constitution","The named artifact exists, addresses this statement, and is traceable to the cited lines: “The database specification includes relationships.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Versioned artifact plus reviewer sign-off and citation trace.","Pending independent review","Not started"
"REQ-048.11","REQ-048","Part 5","Database Design Principles and Specification","L2099; L2107","Before implementation, generate a complete database specification that includes: || Cardinality","1d88cde84532211ea11531d3831c10173d55eaf3ba8944e199b4234878c6c4aa","The database specification includes cardinality.","MUST","Documentation","Pre-implementation deliverable","CD","Database","None stated by the Constitution","The named artifact exists, addresses this statement, and is traceable to the cited lines: “The database specification includes cardinality.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Versioned artifact plus reviewer sign-off and citation trace.","Pending independent review","Not started"
"REQ-048.12","REQ-048","Part 5","Database Design Principles and Specification","L2099; L2109","Before implementation, generate a complete database specification that includes: || Data ownership","162e630cbb1f472b7b9c1e96b691ca9f80ed24a19488f7f67d019154965781f8","The database specification includes data ownership.","MUST","Documentation","Pre-implementation deliverable","CD","Database","None stated by the Constitution","The named artifact exists, addresses this statement, and is traceable to the cited lines: “The database specification includes data ownership.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Versioned artifact plus reviewer sign-off and citation trace.","Pending independent review","Not started"
"REQ-048.13","REQ-048","Part 5","Database Design Principles and Specification","L2099; L2111","Before implementation, generate a complete database specification that includes: || Constraints","67e1f5b13d0cd1615dd863dabaae9e4b6eacc6bc2b12f5de51e456d5f8769d6e","The database specification includes constraints.","MUST","Documentation","Pre-implementation deliverable","CD","Database","None stated by the Constitution","The named artifact exists, addresses this statement, and is traceable to the cited lines: “The database specification includes constraints.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Versioned artifact plus reviewer sign-off and citation trace.","Pending independent review","Not started"
"REQ-048.14","REQ-048","Part 5","Database Design Principles and Specification","L2099; L2113","Before implementation, generate a complete database specification that includes: || Index strategy","0db4d4c6a36ae46904c12826b60c57ade3d628fcfd2afed7a6d2814fcfdae0e7","The database specification includes index strategy.","MUST","Documentation","Pre-implementation deliverable","CD","Database","None stated by the Constitution","The named artifact exists, addresses this statement, and is traceable to the cited lines: “The database specification includes index strategy.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Versioned artifact plus reviewer sign-off and citation trace.","Pending independent review","Not started"
"REQ-048.15","REQ-048","Part 5","Database Design Principles and Specification","L2099; L2115","Before implementation, generate a complete database specification that includes: || Retention considerations","b5692f2e76202c8bcf82057541189116e4c4b5a3fdda09f4c2f74aec0417918c","The database specification includes retention considerations.","MUST","Documentation","Pre-implementation deliverable","CD","Database","None stated by the Constitution","The named artifact exists, addresses this statement, and is traceable to the cited lines: “The database specification includes retention considerations.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Versioned artifact plus reviewer sign-off and citation trace.","Pending independent review","Not started"
"REQ-048.16","REQ-048","Part 5","Database Design Principles and Specification","L2099; L2117","Before implementation, generate a complete database specification that includes: || Migration considerations","48d012c1746788016b78a5fb4faeaeaef90d5211fc1eb5b6dac1c720c513190c","The database specification includes migration considerations.","MUST","Documentation","Pre-implementation deliverable","CD","Database","None stated by the Constitution","The named artifact exists, addresses this statement, and is traceable to the cited lines: “The database specification includes migration considerations.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Versioned artifact plus reviewer sign-off and citation trace.","Pending independent review","Not started"
"REQ-048.17","REQ-048","Part 5","Database Design Principles and Specification","L2119","Also generate an Entity Relationship Diagram (ERD).","832d1ba8279041f989df199875751eb55d46f01b9b1678f605a7efe4b798b3d4","An Entity Relationship Diagram is generated before implementation.","MUST","Documentation","Pre-implementation deliverable","CD","Database","None stated by the Constitution","The named artifact exists, addresses this statement, and is traceable to the cited lines: “An Entity Relationship Diagram is generated before implementation.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Versioned artifact plus reviewer sign-off and citation trace.","Pending independent review","Not started"
"REQ-049.01","REQ-049","Part 5","Identity, Authentication, and Profile Data Domains","L2123–L2125","CORE BUSINESS DOMAINS / The AI should organize the data model into logical domains.","4c07a65434d6b539e064bf7972552991b7b33505e3b4f14cac0636dd053acfc4","The data model is organized into logical business domains.","SHOULD","Data","Pre-implementation deliverable","REC","Database","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “The data model is organized into logical business domains.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-049.02","REQ-049","Part 5","Identity, Authentication, and Profile Data Domains","L2127–L2143","Examples include: / Identity & Authentication / Users / Credentials / Sessions / Email Verification / Password Reset / Login History / Devices","b162e1ca898fc84db0513f32f770544fb7479bff9f20dad46b9488d0de60da28","The identity and authentication domain evaluates users, credentials, sessions, email verification, password reset, login history, and devices as distinct concerns.","MAY","Data","Pre-implementation deliverable","REC","Database","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “The identity and authentication domain evaluates users, credentials, sessions, email verification, password reset, login history, and devices as distinct concerns.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-049.03","REQ-049","Part 5","Identity, Authentication, and Profile Data Domains","L2149; L2151","Store information such as: || Public profile","71c08f7dc41bcd9c8819cdd3b3054357d8a110cc7fcda869aee5b0f266aba364","The user-profile model can store a public profile.","SHOULD","Data","Pre-implementation deliverable","REC","Database","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “The user-profile model can store a public profile.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-049.04","REQ-049","Part 5","Identity, Authentication, and Profile Data Domains","L2149; L2153","Store information such as: || Country","433f6a8430f8205c3083142b44603880a11f0576a7e0a1d840293a04cca6d21c","The user-profile model can store country.","SHOULD","Data","Pre-implementation deliverable","REC","Database","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “The user-profile model can store country.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-049.05","REQ-049","Part 5","Identity, Authentication, and Profile Data Domains","L2149; L2155","Store information such as: || Time zone","3a682fefd6efb8fa470a82f7f6ddd8071551397ba2ba2060b5f05c552ad9bad8","The user-profile model can store time zone.","SHOULD","Data","Pre-implementation deliverable","REC","Database","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “The user-profile model can store time zone.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-049.06","REQ-049","Part 5","Identity, Authentication, and Profile Data Domains","L2149; L2157","Store information such as: || Currency display preference","198b232f285cd04e80bbe341718db2b28e2e63cf09235f0ac905ba24c804711d","The user-profile model can store currency-display preference.","SHOULD","Data","Pre-implementation deliverable","REC","Database","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “The user-profile model can store currency-display preference.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-049.07","REQ-049","Part 5","Identity, Authentication, and Profile Data Domains","L2149; L2159","Store information such as: || Notification preferences","56375dd0589f679e6f850a24cbc7a437d540d493b42d3c889baf5b713936b6ba","The user-profile model can store notification preferences.","SHOULD","Data","Pre-implementation deliverable","REC","Database","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “The user-profile model can store notification preferences.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-049.08","REQ-049","Part 5","Identity, Authentication, and Profile Data Domains","L2149; L2161","Store information such as: || Account status","8bba3b0ea2b4c382ffe5b9c9b26ab1ee194328942a224b74d97fe7a96fedf6ec","The user-profile model can store account status.","SHOULD","Data","Pre-implementation deliverable","REC","Database","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “The user-profile model can store account status.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-049.09","REQ-049","Part 5","Identity, Authentication, and Profile Data Domains","L2163","Only collect data that is necessary for the platform.","353c09e89d0bfc5fac49cd997cc28b697c978a55572f89e7244cee57f838220c","The platform collects only profile data necessary for platform operation.","MUST","Compliance","Pre-implementation deliverable","CD","Database","EFE-003","An acceptance test confirms this statement: “The platform collects only profile data necessary for platform operation.”","Security, Fraud & Compliance deliverable (identifier pending ODR-001)","Control mapping, authoritative evidence, and review record.","Pending independent review","Not started"
"REQ-050.01","REQ-050","Part 5","Wallet Data Domain","L2169; L2171","Support: || Reward Points","1a18d65c257b3665b6bc90da3c40ee2383b4747f72c72a7cd569540cea28c354","The wallet data model supports reward points.","MUST","Data","V1","CD","Database/Backend","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “The wallet data model supports reward points.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-050.02","REQ-050","Part 5","Wallet Data Domain","L2169; L2173","Support: || USD balances","b1eb66330462e8c06569e35beb540a2580c9f1e54e37fb920ae60e671cdf2b54","The wallet data model supports USD balances.","MUST","Data","V1","CD","Database/Backend","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “The wallet data model supports USD balances.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-050.03","REQ-050","Part 5","Wallet Data Domain","L2169; L2175","Support: || Pending balances","549119544ed4f4214e24f1424383ec9b3fcb39ba14ceece51ff8baa998e0d89b","The wallet data model supports pending balances.","MUST","Data","V1","CD","Database/Backend","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “The wallet data model supports pending balances.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-050.04","REQ-050","Part 5","Wallet Data Domain","L2169; L2177","Support: || Validated balances","97cc47291a18863395f570771307e291c04fa2dfe54bc0bf23631acbd2fb5ea4","The wallet data model supports validated balances.","MUST","Data","V1","CD","Database/Backend","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “The wallet data model supports validated balances.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-050.05","REQ-050","Part 5","Wallet Data Domain","L2169; L2179","Support: || Mature balances","8c574e5546e1fca60341648e5182f425234e06c1a27a33ccb16245a45f130699","The wallet data model supports mature balances.","MUST","Data","V1","CD","Database/Backend","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “The wallet data model supports mature balances.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-050.06","REQ-050","Part 5","Wallet Data Domain","L2169; L2181","Support: || Withdrawable balances","428138d8256ba66edcbe35decb55d57f9e998868d33e9558d29fa140bcb392c8","The wallet data model supports withdrawable balances.","MUST","Data","V1","CD","Database/Backend","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “The wallet data model supports withdrawable balances.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-050.07","REQ-050","Part 5","Wallet Data Domain","L2169; L2183","Support: || Transaction history","d4c318e18ce225cd756f93bb21ba7738f43b98c54a4880465f511e0983886afe","The wallet data model supports transaction history.","MUST","Data","V1","CD","Database/Backend","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “The wallet data model supports transaction history.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-050.08","REQ-050","Part 5","Wallet Data Domain","L2169; L2185","Support: || Adjustment history","75e90c3e74f78114581fe92c15972763090f7f8aa17bc2593c6c60c4cf760bb8","The wallet data model supports adjustment history.","MUST","Data","V1","CD","Database/Backend","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “The wallet data model supports adjustment history.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
